name	type	checksum	instrument	read_length	library
02212018-A04-NA18505.fastq.gz	fastq	e0c2cbccc6591e77e11c2f6b38021c9e	HiSeq 2500	50	single
02212018-A05-NA18913.fastq.gz	fastq	2153e5dbcd160e0055ffd55237832275	HiSeq 2500	50	single
02212018-A06-NA18505.fastq.gz	fastq	0ff2da0db275d53a7f4b34139d94947d	HiSeq 2500	50	single
02212018-A07-NA19098.fastq.gz	fastq	b81138adc53b1fcf8fc0c5b649c0b8d1	HiSeq 2500	50	single
02212018-A08-NA18913.fastq.gz	fastq	81ce226f1fd4ae662e8d635fcf2c0dea	HiSeq 2500	50	single
02212018-A09-NA19098.fastq.gz	fastq	7fed032329182a9c34815f5fdc5ba245	HiSeq 2500	50	single
02212018-A10-NA19098.fastq.gz	fastq	b24d54532ee3d5104bc9e7abfcafe100	HiSeq 2500	50	single
02212018-A11-NA18505.fastq.gz	fastq	9ef85dd90ad5cc4540b47659552301a0	HiSeq 2500	50	single
02212018-A12-NA19143.fastq.gz	fastq	ba8fbc8ad068a6b77c2138db7a1f151d	HiSeq 2500	50	single
02212018-B01-NA18913.fastq.gz	fastq	374edd2389b5d81a6288834cd623dbba	HiSeq 2500	50	single
02212018-B02-NA18913.fastq.gz	fastq	4bc3599e829cb295d56fd3fb5b9f0020	HiSeq 2500	50	single
02212018-B03-NA18913.fastq.gz	fastq	e7ee8da51f0dd95fd045d8049601bd5c	HiSeq 2500	50	single
02212018-B04-NA19098.fastq.gz	fastq	55de2ef871b55fcc830f8b53745f1a91	HiSeq 2500	50	single
02212018-B05-NA18505.fastq.gz	fastq	1db9fc542fe6598a04109bc34b473d4b	HiSeq 2500	50	single
02212018-B06-NA18913.fastq.gz	fastq	003de554955ab8466abc9903a1a3d588	HiSeq 2500	50	single
02212018-B07-NA18505.fastq.gz	fastq	bfd8b6d5463c4ea61a33f8721ea8a815	HiSeq 2500	50	single
02212018-B08-NA19098.fastq.gz	fastq	0fa8fc7c74ac7e8319fe4419d5c7f6bf	HiSeq 2500	50	single
02212018-B09-NA18505.fastq.gz	fastq	32e964aabaea5508a036bde67de3f0a4	HiSeq 2500	50	single
02212018-B10-NA18505.fastq.gz	fastq	544808acf135369bf2b66a09bb996804	HiSeq 2500	50	single
02212018-B11-NA18913.fastq.gz	fastq	1a041e240c2efe14305864afb2e4eb13	HiSeq 2500	50	single
02212018-B12-NA18913.fastq.gz	fastq	d9d6ec7db2218dd4bbbfffb5f3243adb	HiSeq 2500	50	single
02212018-C01-NA19143.fastq.gz	fastq	06d4ff7c4043126c56056a187e24fd79	HiSeq 2500	50	single
02212018-C02-NA18505.fastq.gz	fastq	37bf5e3c3ec644ea319cd053127419a7	HiSeq 2500	50	single
