experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03302017	D07	0	0.073411908	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D08	1	0.617902789	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D09	1	1.658531841	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D10	1	0.096242438	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D11	1	0.861813148	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D12	1	1.940886277	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E01	1	0.389483787	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E02	1	1.910902487	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E03	1	1.747323792	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E04	1	1.841747101	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E05	1	1.377757706	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E06	1	1.213312915	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E07	1	0.469013994	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E08	1	1.527950082	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E09	1	1.537051024	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	E10	1	1.948823091	1	18502	18520	18522	19098	5000	25000	NA	2
